ID;GL_ITEM;GL_ITEM_NAME;BalanceInSQL;BalanceInPL;Difference;BalanceDate
230;6150;Other personnel expenses;-9113,18;-9113,18;0;2014-01-21 00:00:00.000
231;6400;Depreciation of intangible and tangible assets;0;0;0;2014-01-21 00:00:00.000
232;6500;Room  maintenance costs and rental fees;-41951,26;-41951,26;0;2014-01-21 00:00:00.000
233;6600;Office operating costs;-10174,38;-10174,38;0;2014-01-21 00:00:00.000
234;6700;Administrative expenses;-34162,31;-34162,31;0;2014-01-21 00:00:00.000
235;6870;Security expenses;0;0;0;2014-01-21 00:00:00.000
236;6900;Taxes on income and profit;-575678,11;-575678,11;0;2014-01-21 00:00:00.000
237;6950;Other taxes;-6301,26;-6301,26;0;2014-01-21 00:00:00.000
238;7010;Interest income banks;1248970,24;1249326,75;-356,51;2014-01-21 00:00:00.000
239;7100;Interest income non-banks;870692,4;870692,4;0;2014-01-21 00:00:00.000
240;7210;Interest income floating rate securities;2744,59;2744,59;0;2014-01-21 00:00:00.000
241;7300;Interest-related income;153043,98;153043,98;0;2014-01-21 00:00:00.000
242;7500;Commission income documentary business;16946;16946;0;2014-01-21 00:00:00.000
243;7600;Commission income payments;95444,13;95414,58;29,55;2014-01-21 00:00:00.000
244;7650;Other commission incomes;290,06;290,06;0;2014-01-21 00:00:00.000
245;7700;Other operating income;668,13;668,13;0;2014-01-21 00:00:00.000
246;7850;Foreign exchange income;1177404,87;1177404,87;0;2014-01-21 00:00:00.000
247;7870;Securities income;0;0;0;2014-01-21 00:00:00.000
248;10;Cash box;-732,06;-732,06;0;2014-01-21 00:00:00.000
249;2500;Intangible assets;-135436,02;-135436,02;0;2014-01-21 00:00:00.000
250;2600;Fixed assets;-128381,1;-128381,1;0;2014-01-21 00:00:00.000
251;2850;Accrued income;-70004,16;-70004,16;0;2014-01-21 00:00:00.000
252;4110;Other liabilities;3958661,36;3958661,36;0;2014-01-21 00:00:00.000
253;4200;Deferred income;118913,44;118913,44;0;2014-01-21 00:00:00.000
254;4300;Provisions - taxes;817773,12;817773,12;0;2014-01-21 00:00:00.000
255;4350;Provisions - other;441678,71;441678,71;0;2014-01-21 00:00:00.000
256;5010;Interest payable banks;-1682102,35;-1682101,98;-0,37;2014-01-22 00:00:00.000
257;5100;Interest payable non-banks;-136375,32;-136375,32;0;2014-01-22 00:00:00.000
