ID;LineNr;CCB_Category;Blank1;AccountingCode;Source_account;Eight_digit_Number;Account_name;Level_3_Account_Code_COA_natural_account_code;Level_3_Account_Name;Account_change_status;PBC_No;blank;Amount_In_Management_Statement
5894;12;持有至到期投资 Held-to-maturity investment;NULL;NULL;14302;14302703;持有到期政府债券 Held to maturity governments securities;115061;持有到期政府债券面值 Face value- Held-to-maturity government securities;121205修改 Revised;8;NULL;0
5895;12;持有至到期投资 Held-to-maturity investment;NULL;NULL;14304;14304704;持有到期中央银行债券 Accrued interest receivable- Held to maturity Central Bank securities;115062;持有到期中央银行债券面值 Face value- Held-to-maturity Central Bank securities;121205修改 Revised;8;NULL;0
5896;12;持有至到期投资 Held-to-maturity investment;NULL;NULL;14306;14306705;持有到期政策性银行债券 Accrued interest receivable- Held to maturity policy banks securities;115063;持有到期政策性银行债券面值 Face value- Held-to-maturity policy bank securities;121205修改 Revised;8;NULL;0
5897;12;持有至到期投资 Held-to-maturity investment;NULL;NULL;14308;14308706;持有到期银行及非银行金融机构债券 Held to maturity bank and non-bank financial institutions securities;115064;持有到期银行及非银行金融机构债券面值 Face value- Held-to-maturity bank and non-bank institutions securities;121205修改 Revised;8;NULL;0
5898;12;持有至到期投资 Held-to-maturity investment;NULL;NULL;14310;14310707;持有到期公共实体债券 Held to maturity public sector entities securities;115065;持有到期公共机构债券面值 Face value- Held-to-maturity public organisation securities;121205修改 Revised;8;NULL;0
5899;12;持有至到期投资 Held-to-maturity investment;NULL;NULL;14300;14300702;持有到期公司债券 Accrued interest receivable- Held to maturity corporate securities;115066;持有到期公司债券面值 Face value- Held-to-maturity company securities;121205修改 Revised;8;NULL;0
5900;12;持有至到期投资 Held-to-maturity investment;NULL;NULL;14312;14312708;持有到期其他债券 Held to maturity others securities;115067;持有到期其他债券面值 Face value- Held-to-maturity other securities;121205修改 Revised;8;NULL;0
5901;12;持有至到期投资 Held-to-maturity investment;NULL;NULL;14314;14314000;持有到期地方政府债券（东京） Held to maturity local governments bond（TK）;115068;持有到期地方政府债券面值（东京） Face value- Held-to-maturity local government securities (Tokyo);121205修改 Revised;8;NULL;0
5902;12;持有至到期投资 Held-to-maturity investment;NULL;NULL;14316;14316703;持有到期政府债券-资本投资（多伦多）Held to maturity Govemments securities- Capital investment (Toronto);115069;持有到期政府债券面值-资本等价存款 Face value- Held-to-maturity government securities- Capital equivalency deposit;1406新增 Added;8;NULL;0
5903;12;持有至到期投资 Held-to-maturity investment;NULL;NULL;14318;14318706;持有到期银行及非银行金融机构债券-资本投资（多伦多）Held to maturity bank and non-bank financial institutions securities- Capital investment (Toronto);115070;持有到期银行及非银行金融机构面值-资本等价存款 Face value- Held-to-maturity bank and non-bank institutions securities- Capital equivalency deposit;1406新增 Added;8;NULL;0
5904;12;持有至到期投资 Held-to-maturity investment;NULL;NULL;14301;14301702;持有到期公司债券折溢价 Premium/discount-held to maturity corporate securities;115071;持有到期公司债券折溢价 Premium/discount-held to maturity corporate securities;121205修改 Revised;8;NULL;0
5905;12;持有至到期投资 Held-to-maturity investment;NULL;NULL;14303;14303703;持有到期政府债券折溢价 Premium/discount-held to maturity governments securities;115072;持有到期政府债券折溢价 Premium/discount-held to maturity governments securities;121205修改 Revised;8;NULL;0
5906;12;持有至到期投资 Held-to-maturity investment;NULL;NULL;14305;14305704;持有到期中央银行债券折溢价 Premium/discount-held to maturity Central Bank securities;115073;持有到期中央银行债券折溢价 Premium/discount-held to maturity Central Bank securities;121205修改 Revised;8;NULL;0
5907;12;持有至到期投资 Held-to-maturity investment;NULL;NULL;14307;14307705;持有到期政策性银行债券折溢价 Premium/discount-held to maturity policy banks securities;115074;持有到期政策性银行债券折溢价 Premium/discount-held to maturity policy banks securities;121205修改 Revised;8;NULL;0
5908;12;持有至到期投资 Held-to-maturity investment;NULL;NULL;14309;14309706;持有到期银行及非银行金融机构债券折溢价 Premium/discount-held to maturity bank and non-bank financial institutions securities;115075;持有到期银行及非银行金融机构债券折溢价 Premium/discount-held to maturity bank and non-bank financial institutions securities;121205修改 Revised;8;NULL;0
5909;12;持有至到期投资 Held-to-maturity investment;NULL;NULL;14311;14311707;持有到期公共实体债券折溢价 Premium/discount-held to maturity public sector entities securities;115076;持有到期公共机构债券折溢价 Premium/Discount- Held-to-maturity public organisation securities;121205修改 Revised;8;NULL;0
5910;12;持有至到期投资 Held-to-maturity investment;NULL;NULL;14313;14313708;持有到期其他债券折溢价 Premium/discount-held to maturity others securities;115077;持有到期其他债券折溢价 Premium/discount-held to maturity others securities;121205修改 Revised;8;NULL;0
5911;12;持有至到期投资 Held-to-maturity investment;NULL;NULL;14315;14315000;持有到期地方政府债券折溢价（东京） Premium/discount- Held-to-maturity local governments bond（TK）;115078;持有到期地方政府债券折溢价（东京） Premium/discount- Held-to-maturity local governments bond（TK）;121205修改 Revised;8;NULL;0
5912;12;持有至到期投资 Held-to-maturity investment;NULL;NULL;14317;14317703;持有到期政府债券折溢价-资本投资（多伦多） Premium/discount-held to maturity governments securities- Capital investment (Toronto);115079;持有到期政府债券折溢价--资本等价存款 Premium/Discount- Held-to-maturity government securities- Capital equivalency deposit;1406新增 Added;8;NULL;0
5913;12;持有至到期投资 Held-to-maturity investment;NULL;NULL;14319;14319706;持有到期银行及非银行金融机构债券折溢价-资本投资（多伦多） Premium/discount-held to maturity bank and non-bank financial institutions securities (Toronto);115080;持有到期银行及非银行金融机构债券折溢价-资本等价存款 Premium/Discount- Held-to-maturity bank and non-bank institutions securities- Capital equivalency deposit;1406新增 Added;8;NULL;0
5914;12;持有至到期投资 Held-to-maturity investment;NULL;NULL;14503;14503000;持有到期债券个别计提减值准备 Individual impair all'ces- Sec HTM  ;115161;持有到期债券个别计提减值准备 Individual impair all'ces- Sec HTM  ;NULL;8;NULL;0
5915;12;持有至到期投资 Held-to-maturity investment;NULL;NULL;14504;14504000;持有到期债券组合计提减值准备 Collective impairment all'ces- Sec HTM      ;115162;持有到期债券组合计提减值准备 Collective impairment all'ces- Sec HTM      ;NULL;8;NULL;0
5916;12;持有至到期投资 Held-to-maturity investment;NULL;NULL;14900;14900704;货币政策操作央行债券投资 Monetary policy investment- Central Bank bills;115201;货币政策操作央行债券投资 Monetary policy investment- Central Bank bills;121205修改 Revised;8;NULL;0
5917;12;持有至到期投资 Held-to-maturity investment;NULL;NULL;14902;14902703;货币政策操作政府债券投资 Acc In Rec- Monetary policy investment- State treasury notes;115202;货币政策操作政府债券投资 Acc In Rec- Monetary policy investment- State treasury notes;121205修改 Revised;8;NULL;0
5918;12;持有至到期投资 Held-to-maturity investment;NULL;NULL;14903;14903708;货币政策操作其他债券 Monetary policy investment- Other Securities;115203;货币政策操作其他债券 Monetary policy investment- Other Securities;121205修改 Revised;8;NULL;0
5919;12;持有至到期投资 Held-to-maturity investment;NULL;NULL;14901;14901703;货币政策操作抵押政府债券 Monetary policy investment- Mortgaged state treasury notes;115204;货币政策操作抵押政府债券 Monetary policy investment- Mortgaged state treasury notes;121205修改 Revised;8;NULL;0
5920;13;长期股权投资 Group investment;NULL;NULL;15800;15800000;对子公司投资成本 Investment in subsidiaries;119001;对子公司投资成本 Investment in subsidiaries;NULL;8,3;NULL;0
5921;13;长期股权投资 Group investment;NULL;NULL;15801;15801000;联营公司投资 Investment in associated company   ;119002;对联营和合营企业投资成本 Investment in associates and joint ventures;NULL;8,3;NULL;0
5922;13;长期股权投资 Group investment;NULL;NULL;15802;15802000;其他投资 Other investment ;119009;对其他企业投资成本 Investment in other companies;NULL;8,3;NULL;0
5923;13;长期股权投资 Group investment;NULL;NULL;15810;15810000;长期股权投资减值准备 Impairement of group investement;119101;长期股权投资减值准备 Impairment of group investment;NULL;8,3;NULL;0
5924;08;发放贷款和垫款 Granting loans and advances;NULL;NULL;13011;13011303;海外代付 Refinancing;121001;进口项下海外代付融资 Refinancing for import;NULL;NULL;NULL;11432654,52
5925;08;发放贷款和垫款 Granting loans and advances;NULL;NULL;13090;13090315;打包贷款 Export packing loan;121021;打包贷款 Export packing loan;NULL;NULL;NULL;0
5926;08;发放贷款和垫款 Granting loans and advances;NULL;NULL;13081;13081320;出口商业发票融资 Export invoice financing;121023;出口商业发票融资 Export invoice financing;NULL;NULL;NULL;0
5927;08;发放贷款和垫款 Granting loans and advances;NULL;NULL;13096;13096319;无追索权保理预付款 Factoring without recourse;121024;无追索权国际保理预付款项 International factoring without recourse;121205修改 Revised;NULL;NULL;0
5928;08;发放贷款和垫款 Granting loans and advances;NULL;NULL;13063;13063306;出口议付款项 Outward bills purchased/negotiation under letter of credit;121028;出口议付 付 Outward bills purchased/negotiation under L/C;121205修改 Revised;NULL;NULL;0
5929;08;发放贷款和垫款 Granting loans and advances;NULL;NULL;13066;13066304;出口押汇款项 Export L/C bill advance                      ;121029;出口押汇 Export L/C bill advance;121205修改 Revised;NULL;NULL;0
5930;08;发放贷款和垫款 Granting loans and advances;NULL;NULL;13078;13078321;信用证项下应收款买入 Export- Account receivable financing;121031;信用证项下应收款买入 Export- Account receivable financing;NULL;NULL;NULL;0
5931;08;发放贷款和垫款 Granting loans and advances;NULL;NULL;13072;13072305;福费廷 Forfaiting;121032;福费廷 Forfaiting;NULL;NULL;NULL;586177732,5
5932;08;发放贷款和垫款 Granting loans and advances;NULL;NULL;13001;13001359;进口购货合同融资 Import- Purchase order financing;121061;单位客户进口订单融资 Import purchase order financing- Company;NULL;NULL;NULL;0
5933;08;发放贷款和垫款 Granting loans and advances;NULL;NULL;13008;13008360;信用证项下非信托收据贷款 Import Loan under letter of credit;121062;单位客户信用证项下非信托收据贷款 Import loan under L/C- Company;NULL;NULL;NULL;0
