ID	ClientType	BusinessType	Contract Type	ProductType	ClientNr	ContractClear	Counterparty/Issuer	StartDate	Next Event	Final Matu	Type	CURRENCY	Principal Amount/Value Balance(EUR Equ)	InterestRate	DaysToEventDate	MonthsToEventDate	MonthsToStartDate	YearsToStartDate	DaysToMaturity	DaysToMaturityFromStartDate	MonthsToMaturityFromStartDate	YearsToMaturityFromStartDate	RESTLAUFZEIT	EVENT	ProlongationNr	InterestEventCalc	InterestType	TOTAL_INTEREST	Year1_Interest	Year2_Interest	Year3_Interest	Year4_Interest	Year5_Interest
368	BANK	PREFINANCINGS	CLDD	FTBRDD	67820077	6,7811E+14	CCB DALIAN BRANCH	2016-11-04 00:00:00.000	2017-03-03 00:00:00.000	2017-03-03 00:00:00.000	Assets	USD	-380584,27	1,59985	62	3	0	0	62	119	4	1	3	LIVE DATA	0	3M USD LIBOR	V	1048,62	1048,62	0	0	0	0
369	BANK	PREFINANCINGS	CLDD	EALLC	67820063	6,7811E+14	CCB SHENZHEN	2016-12-09 00:00:00.000	2017-03-03 00:00:00.000	2017-03-03 00:00:00.000	Assets	USD	-172295,36	2,05083	62	3	0	0	62	84	3	1	3	LIVE DATA	0	3M USD LIBOR	V	608,54	608,54	0	0	0	0
370	BANK	PREFINANCINGS	CLDD	FTBRDD	67820077	6,7811E+14	CCB DALIAN BRANCH	2016-10-24 00:00:00.000	2017-03-03 00:00:00.000	2017-03-03 00:00:00.000	Assets	USD	-684738,69	1,63145	62	3	0	0	62	130	5	1	3	LIVE DATA	0	3M USD LIBOR	V	1923,92	1923,92	0	0	0	0
371	BANK	PREFINANCINGS	CLDD	FTBRDD	67821003	6,7811E+14	CCB JILIN BRANCH	2016-09-23 00:00:00.000	2017-03-22 00:00:00.000	2017-03-22 00:00:00.000	Assets	USD	-254445,38	1,65878	81	3	0	0	81	180	6	1	3	LIVE DATA	0	6M USD LIBOR	V	949,66	949,66	0	0	0	0
372	BANK	PREFINANCINGS	CLDD	FTBRDD	67820077	6,7811E+14	CCB DALIAN BRANCH	2016-12-12 00:00:00.000	2017-03-22 00:00:00.000	2017-03-22 00:00:00.000	Assets	USD	-32120,65	2,16645	81	3	0	0	81	100	3	1	3	LIVE DATA	0	3M USD LIBOR	V	156,57	156,57	0	0	0	0
373	BANK	PREFINANCINGS	CLDD	FTBRDD	67820077	6,7811E+14	CCB DALIAN BRANCH	2016-12-22 00:00:00.000	2017-03-22 00:00:00.000	2017-03-22 00:00:00.000	Assets	USD	-35916,91	2,19622	81	3	0	0	81	90	3	1	3	LIVE DATA	0	3M USD LIBOR	V	177,48	177,48	0	0	0	0
374	BANK	BANKS TIME DEPOSITS - OVER 1 MONTH UNTIL 3 MONTHS	MMDP	MMRFSF	67820285	6,7825E+14	ING BANK NV HONG KONG BRANCH	2016-11-18 00:00:00.000	2017-02-03 00:00:00.000	2017-02-03 00:00:00.000	Liabilities	USD	7640615,38	1,20872	34	2	0	0	34	77	3	1	2	LIVE DATA	0	3M USD LIBOR	V	-8722,29	-8722,29	0	0	0	0
375	BANK	BANKS TIME DEPOSITS - OVER 1 MONTH UNTIL 3 MONTHS	MMDP	MMRFSF	67820285	6,7825E+14	ING BANK NV HONG KONG BRANCH	2016-11-30 00:00:00.000	2017-02-17 00:00:00.000	2017-02-17 00:00:00.000	Liabilities	USD	8009426,8	1,23511	48	2	0	0	48	79	3	1	2	LIVE DATA	0	3M USD LIBOR	V	-13190,03	-13190,03	0	0	0	0
376	BANK	BANKS TIME DEPOSITS - INTERGROUP - OVER 1 MONTH UNTIL 3 MONTHS	DLD	DD	67820000	2003475	CHINA CONSTRUCTION BANK H.O.	2016-12-21 00:00:00.000	2017-02-21 00:00:00.000	2017-02-21 00:00:00.000	Liabilities	USD	118562079,1	1,91	52	2	0	0	52	62	2	1	2	LIVE DATA	0	3M USD LIBOR	V	-327099,6	-327099,6	0	0	0	0
377	BANK	BANKS TIME DEPOSITS - INTERGROUP - OVER 1 MONTH UNTIL 3 MONTHS	DLD	DD	67820000	2003474	CHINA CONSTRUCTION BANK H.O.	2016-12-21 00:00:00.000	2017-02-21 00:00:00.000	2017-02-21 00:00:00.000	Liabilities	USD	118562079,1	1,91	52	2	0	0	52	62	2	1	2	LIVE DATA	0	3M USD LIBOR	V	-327099,6	-327099,6	0	0	0	0
378	BANK	PREFINANCINGS	CLDD	FTBRDD	67820077	6,7811E+14	CCB DALIAN BRANCH	2016-12-23 00:00:00.000	2017-03-23 00:00:00.000	2017-03-23 00:00:00.000	Assets	USD	-61234,94	2,19761	82	3	0	0	82	90	3	1	3	LIVE DATA	0	3M USD LIBOR	V	306,52	306,52	0	0	0	0
379	BANK	MM TRANSACTIONS	DLD	LD	67803479	2003491	ICBC HANOI BRANCH	2016-12-23 00:00:00.000	2017-03-23 00:00:00.000	2017-03-23 00:00:00.000	Assets	USD	-9484966,33	2,06	82	3	0	0	82	90	3	1	3	LIVE DATA	0	3M USD LIBOR	V	44505,57	44505,57	0	0	0	0
380	BANK	PREFINANCINGS	CLDD	EALLC	67820058	6,7811E+14	CCB HEBEI BRANCH	2016-12-29 00:00:00.000	2017-03-23 00:00:00.000	2017-03-23 00:00:00.000	Assets	USD	-10191451,17	1,79706	82	3	0	0	82	84	3	1	3	LIVE DATA	0	3M USD LIBOR	V	41716,7	41716,7	0	0	0	0
381	BANK	PREFINANCINGS	CLDD	FTBRDD	67820077	6,7811E+14	CCB DALIAN BRANCH	2016-12-23 00:00:00.000	2017-03-23 00:00:00.000	2017-03-23 00:00:00.000	Assets	USD	-92541,71	2,19761	82	3	0	0	82	90	3	1	3	LIVE DATA	0	3M USD LIBOR	V	463,23	463,23	0	0	0	0
382	BANK	MM TRANSACTIONS	DLD	LD	67803599	2003488	AGRICULTURAL BANK OF CHINA DUBAI BRANCH	2016-12-23 00:00:00.000	2017-03-23 00:00:00.000	2017-03-23 00:00:00.000	Assets	USD	-52167314,81	2,05	82	3	0	0	82	90	3	1	3	LIVE DATA	0	3M USD LIBOR	V	243592,38	243592,38	0	0	0	0
383	BANK	PREFINANCINGS	CLDD	EALLC	67820078	6,7811E+14	CCB SHANXI BRANCH	2016-12-30 00:00:00.000	2017-03-23 00:00:00.000	2017-03-23 00:00:00.000	Assets	USD	-2703518,43	1,99706	82	3	0	0	82	83	3	1	3	LIVE DATA	0	3M USD LIBOR	V	12297,92	12297,92	0	0	0	0
384	BANK	PREFINANCINGS	CLDD	FTBRDD	67820077	6,7811E+14	CCB DALIAN BRANCH	2016-12-08 00:00:00.000	2017-02-06 00:00:00.000	2017-02-06 00:00:00.000	Assets	USD	-309441	1,90361	37	2	0	0	37	60	2	1	2	LIVE DATA	0	1M USD LIBOR	V	605,42	605,42	0	0	0	0
385	BANK	PREFINANCINGS	CLDD	FTBRDD	67821003	6,7811E+14	CCB JILIN BRANCH	2016-11-08 00:00:00.000	2017-02-06 00:00:00.000	2017-02-06 00:00:00.000	Assets	USD	-521673,15	1,48261	37	2	0	0	37	90	3	1	2	LIVE DATA	0	3M USD LIBOR	V	794,92	794,92	0	0	0	0
386	BANK	PREFINANCINGS	CLDD	EALLC	67820063	6,7811E+14	CCB SHENZHEN	2016-12-09 00:00:00.000	2017-03-03 00:00:00.000	2017-03-03 00:00:00.000	Assets	USD	-159508,68	2,05083	62	3	0	0	62	84	3	1	3	LIVE DATA	0	3M USD LIBOR	V	563,38	563,38	0	0	0	0
